0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.001,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.001
0.0,0.0,-0.001,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.001
0.0,0.0,-0.001,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.001
0.0,0.0,-0.001,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.001
0.0,0.0,-0.001,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.001
0.0,0.0,-0.002,-0.003,-0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,-0.001,0.001,0.001,0.002,0.0,0.003,0.001,-0.002
0.0,0.0,-0.002,-0.003,-0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,-0.001,0.001,0.001,0.002,0.0,0.003,0.001,-0.002
0.0,0.0,-0.002,-0.003,-0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,-0.001,0.001,0.001,0.002,0.0,0.003,0.001,-0.002
0.0,0.0,-0.002,-0.003,-0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,-0.001,0.001,0.001,0.002,0.0,0.003,0.001,-0.002
0.0,0.0,-0.002,-0.003,-0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.002,-0.001,0.001,0.001,0.002,0.0,0.003,0.001,-0.002
0.0,0.0,-0.002,-0.005,-0.002,-0.001,0.0,0.0,0.002,0.0,-0.001,0.003,-0.001,0.002,0.003,0.004,-0.001,0.004,0.002,-0.004
0.0,0.0,-0.002,-0.005,-0.002,-0.001,0.0,0.0,0.002,0.0,-0.001,0.003,-0.001,0.002,0.003,0.004,-0.001,0.004,0.002,-0.004
0.0,0.0,-0.002,-0.005,-0.002,-0.001,0.0,0.0,0.002,0.0,-0.001,0.003,-0.001,0.002,0.003,0.004,-0.001,0.004,0.002,-0.004
0.0,0.0,-0.002,-0.005,-0.002,-0.001,0.0,0.0,0.002,0.0,-0.001,0.003,-0.001,0.002,0.003,0.004,-0.001,0.004,0.002,-0.004
0.0,0.0,-0.002,-0.005,-0.002,-0.001,0.0,0.0,0.002,0.0,-0.001,0.003,-0.001,0.002,0.003,0.004,-0.001,0.004,0.002,-0.004
0.0,0.0,-0.003,-0.007,-0.003,-0.003,0.0,0.0,0.003,0.0,-0.001,0.004,-0.002,0.003,0.004,0.006,-0.001,0.005,0.003,-0.005
0.0,0.0,-0.003,-0.007,-0.003,-0.003,0.0,0.0,0.003,0.0,-0.001,0.004,-0.002,0.003,0.004,0.006,-0.001,0.005,0.003,-0.005
0.0,0.0,-0.003,-0.007,-0.003,-0.003,0.0,0.0,0.003,0.0,-0.001,0.004,-0.002,0.003,0.004,0.006,-0.001,0.005,0.003,-0.005
0.0,0.0,-0.003,-0.007,-0.003,-0.003,0.0,0.0,0.003,0.0,-0.001,0.004,-0.002,0.003,0.004,0.006,-0.001,0.005,0.003,-0.005
0.0,0.0,-0.003,-0.007,-0.003,-0.003,0.0,0.0,0.003,0.0,-0.001,0.004,-0.002,0.003,0.004,0.006,-0.001,0.005,0.003,-0.005
0.0,0.0,-0.004,-0.009,-0.003,-0.004,0.0,0.0,0.004,-0.001,-0.001,0.005,-0.002,0.004,0.006,0.008,-0.001,0.006,0.004,-0.006
0.0,0.0,-0.004,-0.009,-0.003,-0.004,0.0,0.0,0.004,-0.001,-0.001,0.005,-0.002,0.004,0.006,0.008,-0.001,0.006,0.004,-0.006
0.0,0.0,-0.004,-0.009,-0.003,-0.004,0.0,0.0,0.004,-0.001,-0.001,0.005,-0.002,0.004,0.006,0.008,-0.001,0.006,0.004,-0.006
0.0,0.0,-0.004,-0.009,-0.003,-0.004,0.0,0.0,0.004,-0.001,-0.001,0.005,-0.002,0.004,0.006,0.008,-0.001,0.006,0.004,-0.006
0.0,0.0,-0.004,-0.009,-0.003,-0.004,0.0,0.0,0.004,-0.001,-0.001,0.005,-0.002,0.004,0.006,0.008,-0.001,0.006,0.004,-0.006
0.0,0.0,-0.005,-0.01,-0.004,-0.005,0.0,0.0,0.005,-0.001,-0.002,0.006,-0.003,0.005,0.007,0.01,-0.002,0.008,0.005,-0.007
0.0,0.0,-0.005,-0.01,-0.004,-0.005,0.0,0.0,0.005,-0.001,-0.002,0.006,-0.003,0.005,0.007,0.01,-0.002,0.008,0.005,-0.007
0.0,0.0,-0.005,-0.01,-0.004,-0.005,0.0,0.0,0.005,-0.001,-0.002,0.006,-0.003,0.005,0.007,0.01,-0.002,0.008,0.005,-0.007
0.0,0.0,-0.005,-0.01,-0.004,-0.005,0.0,0.0,0.005,-0.001,-0.002,0.006,-0.003,0.005,0.007,0.01,-0.002,0.008,0.005,-0.007
0.0,0.0,-0.005,-0.01,-0.004,-0.005,0.0,0.0,0.005,-0.001,-0.002,0.006,-0.003,0.005,0.007,0.01,-0.002,0.008,0.005,-0.007
0.0,0.0,-0.006,-0.012,-0.005,-0.006,0.0,0.0,0.005,-0.001,-0.002,0.007,-0.003,0.005,0.008,0.012,-0.002,0.009,0.006,-0.009
0.0,0.0,-0.006,-0.012,-0.005,-0.006,0.0,0.0,0.005,-0.001,-0.002,0.007,-0.003,0.005,0.008,0.012,-0.002,0.009,0.006,-0.009
0.0,0.0,-0.006,-0.012,-0.005,-0.006,0.0,0.0,0.005,-0.001,-0.002,0.007,-0.003,0.005,0.008,0.012,-0.002,0.009,0.006,-0.009
0.0,0.0,-0.006,-0.012,-0.005,-0.006,0.0,0.0,0.005,-0.001,-0.002,0.007,-0.003,0.005,0.008,0.012,-0.002,0.009,0.006,-0.009
0.0,0.0,-0.006,-0.012,-0.005,-0.006,0.0,0.0,0.005,-0.001,-0.002,0.007,-0.003,0.005,0.008,0.012,-0.002,0.009,0.006,-0.009
0.0,0.0,-0.007,-0.014,-0.006,-0.007,0.001,0.0,0.006,-0.001,-0.002,0.008,-0.004,0.006,0.01,0.014,-0.002,0.01,0.008,-0.01
0.0,0.0,-0.007,-0.014,-0.006,-0.007,0.001,0.0,0.006,-0.001,-0.002,0.008,-0.004,0.006,0.01,0.014,-0.002,0.01,0.008,-0.01
0.0,0.0,-0.007,-0.014,-0.006,-0.007,0.001,0.0,0.006,-0.001,-0.002,0.008,-0.004,0.006,0.01,0.014,-0.002,0.01,0.008,-0.01
0.0,0.0,-0.007,-0.014,-0.006,-0.007,0.001,0.0,0.006,-0.001,-0.002,0.008,-0.004,0.006,0.01,0.014,-0.002,0.01,0.008,-0.01
0.0,0.0,-0.007,-0.014,-0.006,-0.007,0.001,0.0,0.006,-0.001,-0.002,0.008,-0.004,0.006,0.01,0.014,-0.002,0.01,0.008,-0.01
0.0,0.0,-0.007,-0.015,-0.007,-0.009,0.001,0.0,0.007,-0.001,-0.003,0.009,-0.004,0.007,0.011,0.016,-0.003,0.011,0.009,-0.011
